L	lambda	gamma	beta	log10_omega_bar	log10_chi	k	log10_kappa_1	log10_kappa_2
136	8.85	16.6	0.802	-2.31	-1.57	5.91	-3.71	1.77
86.9	7.94	7.35	0.967	-3.85	-1.09	10.2	-4.7	1.9
183	7.94	7.35	0.967	-3.85	-1.09	10.2	-4.7	1.9
86.9	15.7	7.35	0.967	-3.85	-1.09	10.2	-4.7	1.9
86.9	7.94	13.7	0.967	-3.85	-1.09	10.2	-4.7	1.9
86.9	7.94	7.35	0.893	-3.85	-1.09	10.2	-4.7	1.9
86.9	7.94	7.35	0.967	-3.87	-1.09	10.2	-4.7	1.9
86.9	7.94	7.35	0.967	-3.85	-1.15	10.2	-4.7	1.9
86.9	7.94	7.35	0.967	-3.85	-1.09	20.4	-4.7	1.9
86.9	7.94	7.35	0.967	-3.85	-1.09	10.2	-4.31	1.9
86.9	7.94	7.35	0.967	-3.85	-1.09	10.2	-4.7	2.41
86.9	15.7	13.7	0.893	-3.87	-1.15	20.4	-4.31	2.41
183	7.94	13.7	0.893	-3.87	-1.15	20.4	-4.31	2.41
183	15.7	7.35	0.893	-3.87	-1.15	20.4	-4.31	2.41
183	15.7	13.7	0.967	-3.87	-1.15	20.4	-4.31	2.41
183	15.7	13.7	0.893	-3.85	-1.15	20.4	-4.31	2.41
183	15.7	13.7	0.893	-3.87	-1.09	20.4	-4.31	2.41
183	15.7	13.7	0.893	-3.87	-1.15	10.2	-4.31	2.41
183	15.7	13.7	0.893	-3.87	-1.15	20.4	-4.7	2.41
183	15.7	13.7	0.893	-3.87	-1.15	20.4	-4.31	1.9
183	15.7	13.7	0.893	-3.87	-1.15	20.4	-4.31	2.41
152	38.3	13	0.761	-2.28	-0.576	21.1	-3.06	2.25
104	38.3	13	0.761	-2.28	-0.576	21.1	-3.06	2.25
152	26.5	13	0.761	-2.28	-0.576	21.1	-3.06	2.25
152	38.3	9.56	0.761	-2.28	-0.576	21.1	-3.06	2.25
152	38.3	13	0.844	-2.28	-0.576	21.1	-3.06	2.25
152	38.3	13	0.761	-2.55	-0.576	21.1	-3.06	2.25
152	38.3	13	0.761	-2.28	-0.971	21.1	-3.06	2.25
152	38.3	13	0.761	-2.28	-0.576	10.5	-3.06	2.25
152	38.3	13	0.761	-2.28	-0.576	21.1	-2.64	2.25
152	38.3	13	0.761	-2.28	-0.576	21.1	-3.06	1.3
152	26.5	9.56	0.844	-2.55	-0.971	10.5	-2.64	1.3
104	38.3	9.56	0.844	-2.55	-0.971	10.5	-2.64	1.3
104	26.5	13	0.844	-2.55	-0.971	10.5	-2.64	1.3
104	26.5	9.56	0.761	-2.55	-0.971	10.5	-2.64	1.3
104	26.5	9.56	0.844	-2.28	-0.971	10.5	-2.64	1.3
104	26.5	9.56	0.844	-2.55	-0.576	10.5	-2.64	1.3
104	26.5	9.56	0.844	-2.55	-0.971	21.1	-2.64	1.3
104	26.5	9.56	0.844	-2.55	-0.971	10.5	-3.06	1.3
104	26.5	9.56	0.844	-2.55	-0.971	10.5	-2.64	2.25
104	26.5	9.56	0.844	-2.55	-0.971	10.5	-2.64	1.3
143	22.3	7.98	0.839	-3.66	-0.89	6.03	-2.37	2.84
177	22.3	7.98	0.839	-3.66	-0.89	6.03	-2.37	2.84
143	23.3	7.98	0.839	-3.66	-0.89	6.03	-2.37	2.84
143	22.3	10.9	0.839	-3.66	-0.89	6.03	-2.37	2.84
143	22.3	7.98	0.787	-3.66	-0.89	6.03	-2.37	2.84
143	22.3	7.98	0.839	-3.9	-0.89	6.03	-2.37	2.84
143	22.3	7.98	0.839	-3.66	-1.98	6.03	-2.37	2.84
143	22.3	7.98	0.839	-3.66	-0.89	16.8	-2.37	2.84
143	22.3	7.98	0.839	-3.66	-0.89	6.03	-3.9	2.84
143	22.3	7.98	0.839	-3.66	-0.89	6.03	-2.37	2.66
143	23.3	10.9	0.787	-3.9	-1.98	16.8	-3.9	2.66
177	22.3	10.9	0.787	-3.9	-1.98	16.8	-3.9	2.66
177	23.3	7.98	0.787	-3.9	-1.98	16.8	-3.9	2.66
177	23.3	10.9	0.839	-3.9	-1.98	16.8	-3.9	2.66
177	23.3	10.9	0.787	-3.66	-1.98	16.8	-3.9	2.66
177	23.3	10.9	0.787	-3.9	-0.89	16.8	-3.9	2.66
177	23.3	10.9	0.787	-3.9	-1.98	6.03	-3.9	2.66
177	23.3	10.9	0.787	-3.9	-1.98	16.8	-2.37	2.66
177	23.3	10.9	0.787	-3.9	-1.98	16.8	-3.9	2.84
177	23.3	10.9	0.787	-3.9	-1.98	16.8	-3.9	2.66
73.6	25.8	12.4	0.89	-2.22	-1.4	15.2	-3.92	1.45
65.8	25.8	12.4	0.89	-2.22	-1.4	15.2	-3.92	1.45
73.6	16.9	12.4	0.89	-2.22	-1.4	15.2	-3.92	1.45
73.6	25.8	12.6	0.89	-2.22	-1.4	15.2	-3.92	1.45
73.6	25.8	12.4	0.961	-2.22	-1.4	15.2	-3.92	1.45
73.6	25.8	12.4	0.89	-2.71	-1.4	15.2	-3.92	1.45
73.6	25.8	12.4	0.89	-2.22	-0.145	15.2	-3.92	1.45
73.6	25.8	12.4	0.89	-2.22	-1.4	6.74	-3.92	1.45
73.6	25.8	12.4	0.89	-2.22	-1.4	15.2	-2.94	1.45
73.6	25.8	12.4	0.89	-2.22	-1.4	15.2	-3.92	1.55
73.6	16.9	12.6	0.961	-2.71	-0.145	6.74	-2.94	1.55
65.8	25.8	12.6	0.961	-2.71	-0.145	6.74	-2.94	1.55
65.8	16.9	12.4	0.961	-2.71	-0.145	6.74	-2.94	1.55
65.8	16.9	12.6	0.89	-2.71	-0.145	6.74	-2.94	1.55
65.8	16.9	12.6	0.961	-2.22	-0.145	6.74	-2.94	1.55
65.8	16.9	12.6	0.961	-2.71	-1.4	6.74	-2.94	1.55
65.8	16.9	12.6	0.961	-2.71	-0.145	15.2	-2.94	1.55
65.8	16.9	12.6	0.961	-2.71	-0.145	6.74	-3.92	1.55
65.8	16.9	12.6	0.961	-2.71	-0.145	6.74	-2.94	1.45
65.8	16.9	12.6	0.961	-2.71	-0.145	6.74	-2.94	1.55
26.2	9.77	10.4	0.772	-2.61	-1.71	12.1	-4.88	1.86
28.6	9.77	10.4	0.772	-2.61	-1.71	12.1	-4.88	1.86
26.2	5.68	10.4	0.772	-2.61	-1.71	12.1	-4.88	1.86
26.2	9.77	15.3	0.772	-2.61	-1.71	12.1	-4.88	1.86
26.2	9.77	10.4	0.86	-2.61	-1.71	12.1	-4.88	1.86
26.2	9.77	10.4	0.772	-3.15	-1.71	12.1	-4.88	1.86
26.2	9.77	10.4	0.772	-2.61	-0.571	12.1	-4.88	1.86
26.2	9.77	10.4	0.772	-2.61	-1.71	21.9	-4.88	1.86
26.2	9.77	10.4	0.772	-2.61	-1.71	12.1	-2.07	1.86
26.2	9.77	10.4	0.772	-2.61	-1.71	12.1	-4.88	2.13
26.2	5.68	15.3	0.86	-3.15	-0.571	21.9	-2.07	2.13
28.6	9.77	15.3	0.86	-3.15	-0.571	21.9	-2.07	2.13
28.6	5.68	10.4	0.86	-3.15	-0.571	21.9	-2.07	2.13
28.6	5.68	15.3	0.772	-3.15	-0.571	21.9	-2.07	2.13
28.6	5.68	15.3	0.86	-2.61	-0.571	21.9	-2.07	2.13
28.6	5.68	15.3	0.86	-3.15	-1.71	21.9	-2.07	2.13
28.6	5.68	15.3	0.86	-3.15	-0.571	12.1	-2.07	2.13
28.6	5.68	15.3	0.86	-3.15	-0.571	21.9	-4.88	2.13
28.6	5.68	15.3	0.86	-3.15	-0.571	21.9	-2.07	1.86
28.6	5.68	15.3	0.86	-3.15	-0.571	21.9	-2.07	2.13
186	31.8	14.7	0.941	-3.05	-0.189	21.7	-2.87	2.49
124	31.8	14.7	0.941	-3.05	-0.189	21.7	-2.87	2.49
186	34.5	14.7	0.941	-3.05	-0.189	21.7	-2.87	2.49
186	31.8	9.26	0.941	-3.05	-0.189	21.7	-2.87	2.49
186	31.8	14.7	0.878	-3.05	-0.189	21.7	-2.87	2.49
186	31.8	14.7	0.941	-2.47	-0.189	21.7	-2.87	2.49
186	31.8	14.7	0.941	-3.05	-1.3	21.7	-2.87	2.49
186	31.8	14.7	0.941	-3.05	-0.189	11.9	-2.87	2.49
186	31.8	14.7	0.941	-3.05	-0.189	21.7	-4.9	2.49
186	31.8	14.7	0.941	-3.05	-0.189	21.7	-2.87	1.02
186	34.5	9.26	0.878	-2.47	-1.3	11.9	-4.9	1.02
124	31.8	9.26	0.878	-2.47	-1.3	11.9	-4.9	1.02
124	34.5	14.7	0.878	-2.47	-1.3	11.9	-4.9	1.02
124	34.5	9.26	0.941	-2.47	-1.3	11.9	-4.9	1.02
124	34.5	9.26	0.878	-3.05	-1.3	11.9	-4.9	1.02
124	34.5	9.26	0.878	-2.47	-0.189	11.9	-4.9	1.02
124	34.5	9.26	0.878	-2.47	-1.3	21.7	-4.9	1.02
124	34.5	9.26	0.878	-2.47	-1.3	11.9	-2.87	1.02
124	34.5	9.26	0.878	-2.47	-1.3	11.9	-4.9	2.49
124	34.5	9.26	0.878	-2.47	-1.3	11.9	-4.9	1.02
173	6.67	14.2	0.972	-3.26	-0.674	12.9	-4.44	1.55
93.8	6.67	14.2	0.972	-3.26	-0.674	12.9	-4.44	1.55
173	11.7	14.2	0.972	-3.26	-0.674	12.9	-4.44	1.55
173	6.67	7.47	0.972	-3.26	-0.674	12.9	-4.44	1.55
173	6.67	14.2	0.838	-3.26	-0.674	12.9	-4.44	1.55
173	6.67	14.2	0.972	-2.81	-0.674	12.9	-4.44	1.55
173	6.67	14.2	0.972	-3.26	-1.03	12.9	-4.44	1.55
173	6.67	14.2	0.972	-3.26	-0.674	14.4	-4.44	1.55
173	6.67	14.2	0.972	-3.26	-0.674	12.9	-4.54	1.55
173	6.67	14.2	0.972	-3.26	-0.674	12.9	-4.44	1.4
173	11.7	7.47	0.838	-2.81	-1.03	14.4	-4.54	1.4
93.8	6.67	7.47	0.838	-2.81	-1.03	14.4	-4.54	1.4
93.8	11.7	14.2	0.838	-2.81	-1.03	14.4	-4.54	1.4
93.8	11.7	7.47	0.972	-2.81	-1.03	14.4	-4.54	1.4
93.8	11.7	7.47	0.838	-3.26	-1.03	14.4	-4.54	1.4
93.8	11.7	7.47	0.838	-2.81	-0.674	14.4	-4.54	1.4
93.8	11.7	7.47	0.838	-2.81	-1.03	12.9	-4.54	1.4
93.8	11.7	7.47	0.838	-2.81	-1.03	14.4	-4.44	1.4
93.8	11.7	7.47	0.838	-2.81	-1.03	14.4	-4.54	1.55
93.8	11.7	7.47	0.838	-2.81	-1.03	14.4	-4.54	1.4
61.2	37.1	8.65	0.804	-2.82	-1.16	23.3	-3.28	2.18
193	37.1	8.65	0.804	-2.82	-1.16	23.3	-3.28	2.18
61.2	36.1	8.65	0.804	-2.82	-1.16	23.3	-3.28	2.18
61.2	37.1	15.8	0.804	-2.82	-1.16	23.3	-3.28	2.18
61.2	37.1	8.65	0.915	-2.82	-1.16	23.3	-3.28	2.18
61.2	37.1	8.65	0.804	-3.62	-1.16	23.3	-3.28	2.18
61.2	37.1	8.65	0.804	-2.82	-0.837	23.3	-3.28	2.18
61.2	37.1	8.65	0.804	-2.82	-1.16	24.4	-3.28	2.18
61.2	37.1	8.65	0.804	-2.82	-1.16	23.3	-2.5	2.18
61.2	37.1	8.65	0.804	-2.82	-1.16	23.3	-3.28	2.26
61.2	36.1	15.8	0.915	-3.62	-0.837	24.4	-2.5	2.26
193	37.1	15.8	0.915	-3.62	-0.837	24.4	-2.5	2.26
193	36.1	8.65	0.915	-3.62	-0.837	24.4	-2.5	2.26
193	36.1	15.8	0.804	-3.62	-0.837	24.4	-2.5	2.26
193	36.1	15.8	0.915	-2.82	-0.837	24.4	-2.5	2.26
193	36.1	15.8	0.915	-3.62	-1.16	24.4	-2.5	2.26
193	36.1	15.8	0.915	-3.62	-0.837	23.3	-2.5	2.26
193	36.1	15.8	0.915	-3.62	-0.837	24.4	-3.28	2.26
193	36.1	15.8	0.915	-3.62	-0.837	24.4	-2.5	2.18
193	36.1	15.8	0.915	-3.62	-0.837	24.4	-2.5	2.26
109	16	16.6	0.921	-2.47	-1.98	8.98	-2.67	2.53
152	16	16.6	0.921	-2.47	-1.98	8.98	-2.67	2.53
109	29.3	16.6	0.921	-2.47	-1.98	8.98	-2.67	2.53
109	16	14.4	0.921	-2.47	-1.98	8.98	-2.67	2.53
109	16	16.6	0.765	-2.47	-1.98	8.98	-2.67	2.53
109	16	16.6	0.921	-2.05	-1.98	8.98	-2.67	2.53
109	16	16.6	0.921	-2.47	-0.381	8.98	-2.67	2.53
109	16	16.6	0.921	-2.47	-1.98	9.27	-2.67	2.53
109	16	16.6	0.921	-2.47	-1.98	8.98	-3.49	2.53
109	16	16.6	0.921	-2.47	-1.98	8.98	-2.67	1.93
109	29.3	14.4	0.765	-2.05	-0.381	9.27	-3.49	1.93
152	16	14.4	0.765	-2.05	-0.381	9.27	-3.49	1.93
152	29.3	16.6	0.765	-2.05	-0.381	9.27	-3.49	1.93
152	29.3	14.4	0.921	-2.05	-0.381	9.27	-3.49	1.93
152	29.3	14.4	0.765	-2.47	-0.381	9.27	-3.49	1.93
152	29.3	14.4	0.765	-2.05	-1.98	9.27	-3.49	1.93
152	29.3	14.4	0.765	-2.05	-0.381	8.98	-3.49	1.93
152	29.3	14.4	0.765	-2.05	-0.381	9.27	-2.67	1.93
152	29.3	14.4	0.765	-2.05	-0.381	9.27	-3.49	2.53
152	29.3	14.4	0.765	-2.05	-0.381	9.27	-3.49	1.93
131	30	10.9	0.87	-3.9	-0.497	19.8	-3.56	1.14
45.5	30	10.9	0.87	-3.9	-0.497	19.8	-3.56	1.14
131	18.5	10.9	0.87	-3.9	-0.497	19.8	-3.56	1.14
131	30	10.4	0.87	-3.9	-0.497	19.8	-3.56	1.14
131	30	10.9	0.998	-3.9	-0.497	19.8	-3.56	1.14
131	30	10.9	0.87	-3.37	-0.497	19.8	-3.56	1.14
131	30	10.9	0.87	-3.9	-1.75	19.8	-3.56	1.14
131	30	10.9	0.87	-3.9	-0.497	19.3	-3.56	1.14
131	30	10.9	0.87	-3.9	-0.497	19.8	-3.66	1.14
131	30	10.9	0.87	-3.9	-0.497	19.8	-3.56	2.79
131	18.5	10.4	0.998	-3.37	-1.75	19.3	-3.66	2.79
45.5	30	10.4	0.998	-3.37	-1.75	19.3	-3.66	2.79
45.5	18.5	10.9	0.998	-3.37	-1.75	19.3	-3.66	2.79
45.5	18.5	10.4	0.87	-3.37	-1.75	19.3	-3.66	2.79
45.5	18.5	10.4	0.998	-3.9	-1.75	19.3	-3.66	2.79
45.5	18.5	10.4	0.998	-3.37	-0.497	19.3	-3.66	2.79
45.5	18.5	10.4	0.998	-3.37	-1.75	19.8	-3.66	2.79
45.5	18.5	10.4	0.998	-3.37	-1.75	19.3	-3.56	2.79
45.5	18.5	10.4	0.998	-3.37	-1.75	19.3	-3.66	1.14
45.5	18.5	10.4	0.998	-3.37	-1.75	19.3	-3.66	2.79
130	11.7	14.4	0.923	-2.36	-1.31	11.9	-3.98	1.9
105	11.7	14.4	0.923	-2.36	-1.31	11.9	-3.98	1.9
130	16.8	14.4	0.923	-2.36	-1.31	11.9	-3.98	1.9
130	11.7	11.2	0.923	-2.36	-1.31	11.9	-3.98	1.9
130	11.7	14.4	0.942	-2.36	-1.31	11.9	-3.98	1.9
130	11.7	14.4	0.923	-2.45	-1.31	11.9	-3.98	1.9
130	11.7	14.4	0.923	-2.36	-0.336	11.9	-3.98	1.9
130	11.7	14.4	0.923	-2.36	-1.31	8.78	-3.98	1.9
130	11.7	14.4	0.923	-2.36	-1.31	11.9	-4.81	1.9
130	11.7	14.4	0.923	-2.36	-1.31	11.9	-3.98	2.2
130	16.8	11.2	0.942	-2.45	-0.336	8.78	-4.81	2.2
105	11.7	11.2	0.942	-2.45	-0.336	8.78	-4.81	2.2
105	16.8	14.4	0.942	-2.45	-0.336	8.78	-4.81	2.2
105	16.8	11.2	0.923	-2.45	-0.336	8.78	-4.81	2.2
105	16.8	11.2	0.942	-2.36	-0.336	8.78	-4.81	2.2
105	16.8	11.2	0.942	-2.45	-1.31	8.78	-4.81	2.2
105	16.8	11.2	0.942	-2.45	-0.336	11.9	-4.81	2.2
105	16.8	11.2	0.942	-2.45	-0.336	8.78	-3.98	2.2
105	16.8	11.2	0.942	-2.45	-0.336	8.78	-4.81	1.9
105	16.8	11.2	0.942	-2.45	-0.336	8.78	-4.81	2.2
110	34.5	8.86	0.849	-3.8	-0.791	21.8	-2.24	2.26
183	34.5	8.86	0.849	-3.8	-0.791	21.8	-2.24	2.26
110	23.5	8.86	0.849	-3.8	-0.791	21.8	-2.24	2.26
110	34.5	12	0.849	-3.8	-0.791	21.8	-2.24	2.26
110	34.5	8.86	0.803	-3.8	-0.791	21.8	-2.24	2.26
110	34.5	8.86	0.849	-3.13	-0.791	21.8	-2.24	2.26
110	34.5	8.86	0.849	-3.8	-1.55	21.8	-2.24	2.26
110	34.5	8.86	0.849	-3.8	-0.791	18.8	-2.24	2.26
110	34.5	8.86	0.849	-3.8	-0.791	21.8	-2.03	2.26
110	34.5	8.86	0.849	-3.8	-0.791	21.8	-2.24	1.09
110	23.5	12	0.803	-3.13	-1.55	18.8	-2.03	1.09
183	34.5	12	0.803	-3.13	-1.55	18.8	-2.03	1.09
183	23.5	8.86	0.803	-3.13	-1.55	18.8	-2.03	1.09
183	23.5	12	0.849	-3.13	-1.55	18.8	-2.03	1.09
183	23.5	12	0.803	-3.8	-1.55	18.8	-2.03	1.09
183	23.5	12	0.803	-3.13	-0.791	18.8	-2.03	1.09
183	23.5	12	0.803	-3.13	-1.55	21.8	-2.03	1.09
183	23.5	12	0.803	-3.13	-1.55	18.8	-2.24	1.09
183	23.5	12	0.803	-3.13	-1.55	18.8	-2.03	2.26
183	23.5	12	0.803	-3.13	-1.55	18.8	-2.03	1.09
61.8	19.9	16.5	0.997	-3.41	-0.0977	6.18	-2.76	2.91
140	19.9	16.5	0.997	-3.41	-0.0977	6.18	-2.76	2.91
61.8	34.1	16.5	0.997	-3.41	-0.0977	6.18	-2.76	2.91
61.8	19.9	15.6	0.997	-3.41	-0.0977	6.18	-2.76	2.91
61.8	19.9	16.5	0.893	-3.41	-0.0977	6.18	-2.76	2.91
61.8	19.9	16.5	0.997	-2.69	-0.0977	6.18	-2.76	2.91
61.8	19.9	16.5	0.997	-3.41	-1.24	6.18	-2.76	2.91
61.8	19.9	16.5	0.997	-3.41	-0.0977	14.9	-2.76	2.91
61.8	19.9	16.5	0.997	-3.41	-0.0977	6.18	-3.03	2.91
61.8	19.9	16.5	0.997	-3.41	-0.0977	6.18	-2.76	2.73
61.8	34.1	15.6	0.893	-2.69	-1.24	14.9	-3.03	2.73
140	19.9	15.6	0.893	-2.69	-1.24	14.9	-3.03	2.73
140	34.1	16.5	0.893	-2.69	-1.24	14.9	-3.03	2.73
140	34.1	15.6	0.997	-2.69	-1.24	14.9	-3.03	2.73
140	34.1	15.6	0.893	-3.41	-1.24	14.9	-3.03	2.73
140	34.1	15.6	0.893	-2.69	-0.0977	14.9	-3.03	2.73
140	34.1	15.6	0.893	-2.69	-1.24	6.18	-3.03	2.73
140	34.1	15.6	0.893	-2.69	-1.24	14.9	-2.76	2.73
140	34.1	15.6	0.893	-2.69	-1.24	14.9	-3.03	2.91
140	34.1	15.6	0.893	-2.69	-1.24	14.9	-3.03	2.73
172	24.1	10.8	0.79	-2.98	-1.61	15.1	-4.97	1.31
57.6	24.1	10.8	0.79	-2.98	-1.61	15.1	-4.97	1.31
172	6.09	10.8	0.79	-2.98	-1.61	15.1	-4.97	1.31
172	24.1	9.16	0.79	-2.98	-1.61	15.1	-4.97	1.31
172	24.1	10.8	0.847	-2.98	-1.61	15.1	-4.97	1.31
172	24.1	10.8	0.79	-3.89	-1.61	15.1	-4.97	1.31
172	24.1	10.8	0.79	-2.98	-0.886	15.1	-4.97	1.31
172	24.1	10.8	0.79	-2.98	-1.61	24.9	-4.97	1.31
172	24.1	10.8	0.79	-2.98	-1.61	15.1	-3.94	1.31
172	24.1	10.8	0.79	-2.98	-1.61	15.1	-4.97	1.62
172	6.09	9.16	0.847	-3.89	-0.886	24.9	-3.94	1.62
57.6	24.1	9.16	0.847	-3.89	-0.886	24.9	-3.94	1.62
57.6	6.09	10.8	0.847	-3.89	-0.886	24.9	-3.94	1.62
57.6	6.09	9.16	0.79	-3.89	-0.886	24.9	-3.94	1.62
57.6	6.09	9.16	0.847	-2.98	-0.886	24.9	-3.94	1.62
57.6	6.09	9.16	0.847	-3.89	-1.61	24.9	-3.94	1.62
57.6	6.09	9.16	0.847	-3.89	-0.886	15.1	-3.94	1.62
57.6	6.09	9.16	0.847	-3.89	-0.886	24.9	-4.97	1.62
57.6	6.09	9.16	0.847	-3.89	-0.886	24.9	-3.94	1.31
57.6	6.09	9.16	0.847	-3.89	-0.886	24.9	-3.94	1.62
185	14.3	8.13	0.759	-2.71	-1	8.82	-3.22	2.73
166	14.3	8.13	0.759	-2.71	-1	8.82	-3.22	2.73
185	35.7	8.13	0.759	-2.71	-1	8.82	-3.22	2.73
185	14.3	7.2	0.759	-2.71	-1	8.82	-3.22	2.73
185	14.3	8.13	0.933	-2.71	-1	8.82	-3.22	2.73
185	14.3	8.13	0.759	-3.36	-1	8.82	-3.22	2.73
185	14.3	8.13	0.759	-2.71	-0.65	8.82	-3.22	2.73
185	14.3	8.13	0.759	-2.71	-1	22.3	-3.22	2.73
185	14.3	8.13	0.759	-2.71	-1	8.82	-3.62	2.73
185	14.3	8.13	0.759	-2.71	-1	8.82	-3.22	1.99
185	35.7	7.2	0.933	-3.36	-0.65	22.3	-3.62	1.99
166	14.3	7.2	0.933	-3.36	-0.65	22.3	-3.62	1.99
166	35.7	8.13	0.933	-3.36	-0.65	22.3	-3.62	1.99
166	35.7	7.2	0.759	-3.36	-0.65	22.3	-3.62	1.99
166	35.7	7.2	0.933	-2.71	-0.65	22.3	-3.62	1.99
166	35.7	7.2	0.933	-3.36	-1	22.3	-3.62	1.99
166	35.7	7.2	0.933	-3.36	-0.65	8.82	-3.62	1.99
166	35.7	7.2	0.933	-3.36	-0.65	22.3	-3.22	1.99
166	35.7	7.2	0.933	-3.36	-0.65	22.3	-3.62	2.73
166	35.7	7.2	0.933	-3.36	-0.65	22.3	-3.62	1.99
26.5	27.6	12.6	0.966	-3.15	-0.523	19.9	-4.58	1.12
76.4	27.6	12.6	0.966	-3.15	-0.523	19.9	-4.58	1.12
26.5	12.1	12.6	0.966	-3.15	-0.523	19.9	-4.58	1.12
26.5	27.6	16.3	0.966	-3.15	-0.523	19.9	-4.58	1.12
26.5	27.6	12.6	0.822	-3.15	-0.523	19.9	-4.58	1.12
26.5	27.6	12.6	0.966	-2.04	-0.523	19.9	-4.58	1.12
26.5	27.6	12.6	0.966	-3.15	-1.47	19.9	-4.58	1.12
26.5	27.6	12.6	0.966	-3.15	-0.523	12.4	-4.58	1.12
26.5	27.6	12.6	0.966	-3.15	-0.523	19.9	-3.42	1.12
26.5	27.6	12.6	0.966	-3.15	-0.523	19.9	-4.58	2.84
26.5	12.1	16.3	0.822	-2.04	-1.47	12.4	-3.42	2.84
76.4	27.6	16.3	0.822	-2.04	-1.47	12.4	-3.42	2.84
76.4	12.1	12.6	0.822	-2.04	-1.47	12.4	-3.42	2.84
76.4	12.1	16.3	0.966	-2.04	-1.47	12.4	-3.42	2.84
76.4	12.1	16.3	0.822	-3.15	-1.47	12.4	-3.42	2.84
76.4	12.1	16.3	0.822	-2.04	-0.523	12.4	-3.42	2.84
76.4	12.1	16.3	0.822	-2.04	-1.47	19.9	-3.42	2.84
76.4	12.1	16.3	0.822	-2.04	-1.47	12.4	-4.58	2.84
76.4	12.1	16.3	0.822	-2.04	-1.47	12.4	-3.42	1.12
76.4	12.1	16.3	0.822	-2.04	-1.47	12.4	-3.42	2.84
74.7	9.32	10.2	0.818	-3.52	-0.338	13.1	-3.67	1.72
40.7	9.32	10.2	0.818	-3.52	-0.338	13.1	-3.67	1.72
74.7	18.4	10.2	0.818	-3.52	-0.338	13.1	-3.67	1.72
74.7	9.32	14	0.818	-3.52	-0.338	13.1	-3.67	1.72
74.7	9.32	10.2	0.983	-3.52	-0.338	13.1	-3.67	1.72
74.7	9.32	10.2	0.818	-3.6	-0.338	13.1	-3.67	1.72
74.7	9.32	10.2	0.818	-3.52	-1.81	13.1	-3.67	1.72
74.7	9.32	10.2	0.818	-3.52	-0.338	16.3	-3.67	1.72
74.7	9.32	10.2	0.818	-3.52	-0.338	13.1	-2.53	1.72
74.7	9.32	10.2	0.818	-3.52	-0.338	13.1	-3.67	1.46
74.7	18.4	14	0.983	-3.6	-1.81	16.3	-2.53	1.46
40.7	9.32	14	0.983	-3.6	-1.81	16.3	-2.53	1.46
40.7	18.4	10.2	0.983	-3.6	-1.81	16.3	-2.53	1.46
40.7	18.4	14	0.818	-3.6	-1.81	16.3	-2.53	1.46
40.7	18.4	14	0.983	-3.52	-1.81	16.3	-2.53	1.46
40.7	18.4	14	0.983	-3.6	-0.338	16.3	-2.53	1.46
40.7	18.4	14	0.983	-3.6	-1.81	13.1	-2.53	1.46
40.7	18.4	14	0.983	-3.6	-1.81	16.3	-3.67	1.46
40.7	18.4	14	0.983	-3.6	-1.81	16.3	-2.53	1.72
40.7	18.4	14	0.983	-3.6	-1.81	16.3	-2.53	1.46
143	39.1	14.5	0.891	-2.07	-1.83	23.2	-2.59	2.07
112	39.1	14.5	0.891	-2.07	-1.83	23.2	-2.59	2.07
143	29.4	14.5	0.891	-2.07	-1.83	23.2	-2.59	2.07
143	39.1	10.5	0.891	-2.07	-1.83	23.2	-2.59	2.07
143	39.1	14.5	0.777	-2.07	-1.83	23.2	-2.59	2.07
143	39.1	14.5	0.891	-2.8	-1.83	23.2	-2.59	2.07
143	39.1	14.5	0.891	-2.07	-0.0693	23.2	-2.59	2.07
143	39.1	14.5	0.891	-2.07	-1.83	6.3	-2.59	2.07
143	39.1	14.5	0.891	-2.07	-1.83	23.2	-4.61	2.07
143	39.1	14.5	0.891	-2.07	-1.83	23.2	-2.59	2.32
143	29.4	10.5	0.777	-2.8	-0.0693	6.3	-4.61	2.32
112	39.1	10.5	0.777	-2.8	-0.0693	6.3	-4.61	2.32
112	29.4	14.5	0.777	-2.8	-0.0693	6.3	-4.61	2.32
112	29.4	10.5	0.891	-2.8	-0.0693	6.3	-4.61	2.32
112	29.4	10.5	0.777	-2.07	-0.0693	6.3	-4.61	2.32
112	29.4	10.5	0.777	-2.8	-1.83	6.3	-4.61	2.32
112	29.4	10.5	0.777	-2.8	-0.0693	23.2	-4.61	2.32
112	29.4	10.5	0.777	-2.8	-0.0693	6.3	-2.59	2.32
112	29.4	10.5	0.777	-2.8	-0.0693	6.3	-4.61	2.07
112	29.4	10.5	0.777	-2.8	-0.0693	6.3	-4.61	2.32
153	20.9	9.64	0.939	-3.95	-1.64	8.39	-3.4	2.52
50.9	20.9	9.64	0.939	-3.95	-1.64	8.39	-3.4	2.52
153	28.3	9.64	0.939	-3.95	-1.64	8.39	-3.4	2.52
153	20.9	11.9	0.939	-3.95	-1.64	8.39	-3.4	2.52
153	20.9	9.64	0.838	-3.95	-1.64	8.39	-3.4	2.52
153	20.9	9.64	0.939	-3.63	-1.64	8.39	-3.4	2.52
153	20.9	9.64	0.939	-3.95	-1.07	8.39	-3.4	2.52
153	20.9	9.64	0.939	-3.95	-1.64	20.3	-3.4	2.52
153	20.9	9.64	0.939	-3.95	-1.64	8.39	-2.89	2.52
153	20.9	9.64	0.939	-3.95	-1.64	8.39	-3.4	1.71
153	28.3	11.9	0.838	-3.63	-1.07	20.3	-2.89	1.71
